Emotion,Text
Love,XO/ the host🤠💙
None,See our latest #Bismarck ND #job and click to apply: Insurance Agent -  #Sales #Hiring
Anger/Upset,Seriously so annoyed rn.
Frustrated,Seriously so annoyed rn.
None,We're #hiring! Click to apply: Client Manager 1 -Silicon Valley -  #BusinessMgmt #SanJose CA #Job #Jobs #CareerArc
None,If you're looking for work in #NewBraunfels TX check out this #job:  #CustServ #sales #B2C #Hiring
None,Can you recommend anyone for this #job? Store Counter Sales - #hiring #career
Love,@emitoms That is love
Anger/Upset,Show the receipts you wasted mass of a person.
None,This #job might be a great fit for you: Software Engineer (Rails) -  #IT #SF CA #Hiring
Anger/Upset,@mitchellvii Yes.  Let's bring more corrupt rich business people!! Let's make the riche richer that make us patriots!!!
Sarcastic,@mitchellvii Yes.  Let's bring more corrupt rich business people!! Let's make the riche richer that make us patriots!!!
None,See our latest #Milwaukee WI #job and click to apply: Store Team Member -  #Hiring
None,Who wants to hit up Chop Shop?
None,I'm at Lollapalooza 2017 in Chicago IL
Love,Wanna be that song by Brett Eldredge is such a cute song I love it
Love,Thanks boo! 💋💋💋
Thankful,Thanks boo! 💋💋💋
Anger/Upset,I FELL ASLEEP WHILE PACKING AND ITS ALREADY SIX HOW DID THIS HAPPEN
Frustrated,I FELL ASLEEP WHILE PACKING AND ITS ALREADY SIX HOW DID THIS HAPPEN
Love,I don't miss my grandfather cause he's always in my heart. I'm happy he is with his God that he's been loyal to for all his life.
Sadness,I don't miss my grandfather cause he's always in my heart. I'm happy he is with his God that he's been loyal to for all his life.
Excitement,Family time! @ Hard Rock Cafe Yankee Stadium
Frustrated,Lord help me have patience with everything because I haven't had that lately Amen.
Love,@isabellaxchavez Love what palette did you use!?😻💛
Anger/Upset,i do noooooot want to sit in the car for 4 hrs. fml. 🤦🏻‍♀️
Frustrated,i do noooooot want to sit in the car for 4 hrs. fml. 🤦🏻‍♀️
Suprise,my hands seem especially shaky today.... is... is it bc of the coffee? i didn't even have a whole mug!!!
Confusion,my hands seem especially shaky today.... is... is it bc of the coffee? i didn't even have a whole mug!!!
Love,My sisters💓
Love,"2 weeks ➡️ 2 months 
👻❤️"
Excitement,"You know you're excited for school when you haven't thought ""summer ends in two weeks"" but ""college starts in two weeks"" 💜🤘🏼#gcu #lopesup"
Anger/Upset,Hate when this happens
Frustrated,Hate when this happens
lol,Mcdonalds originally used to be a bbq stand 😭😭😭
Anger/Upset,@LaurenBaratzL The hypocrisy of their relentless chatter about Clinton and Weiner?All the while sending dickpics &amp;…
Excitement,cant wait 4 the day i get a boob reduction
Excitement,Back for day 3!!!! #rockthedesert2017
Thankful,@xychelsea : Incredible for someone with no internet for 7 years you remain more civil/positive than 99.9%. Thank you. #WeGotThis
Excitement,Took a break from work to crash a wedding!
None,Vintage swimsuit w drop back size large $14!!!🔥🔥🔥 Purchase in store or email shoprumorsrva…
Thankful,S/o to my grandma and my cousin for spending 20 minutes getting the tangles out of my hair
Love,i don't regret you imma love you all my life
Suprise,oh my god
Confusion,i didn't know i was famous
Confusion,People are crazy if they think committing a racist act on someone who is racist will end racism... like does that even make sense? 🤦🏻‍♂️
Frustrated,People are crazy if they think committing a racist act on someone who is racist will end racism... like does that even make sense? 🤦🏻‍♂️
Sadness,Back in this lame town 😕
Frustrated,Back in this lame town 😕
Happy,L-E-T-S-G-O-! All the #sisters #nieces &amp; #nephews together!!! My #CHEER #babes! 🎉 #SoCal #summer…
Excitement,L-E-T-S-G-O-! All the #sisters #nieces &amp; #nephews together!!! My #CHEER #babes! 🎉 #SoCal #summer…
Sadness,We're all a little broken inside.
None,@ChristineCaine You do a WONDERFUL JOB finding ppl &amp; restoring dignity &amp; well-being @A21 &amp; I'll gladly WALK.BUT H…
Anger/Upset,So annoyed right now it's not even funny
Frustrated,So annoyed right now it's not even funny
lol,Lmfao I laughed too hard at this .... nigga was hungry asf
Confusion,I don't see how people can't recognize superheroes when they be having on like half a mask
Sadness,For the first time in my life I cracked my phone 😭
Happy,I like smiling.
Anger/Upset,I've learned not to believe all the lies a man can tell you. Niggas be lame asl with these lies just to get in your pants.
Amusment/Interest?,That anonymous questions app is lowkey kinda fun
Anger/Upset,They are messing things up!
Frustrated,They are messing things up!
Sadness,I can't believe that my sister in law leaves next Sunday to the army😩😩
Sadness,I don't understand why Jimmy had to be taken from us so soon 😔
Frustrated,Being kind has fucked me up my whole life
Sadness,crying to toot it and boot it in the car because that was the theme song of this summer &amp; now i'm saying bye to my two best friends :(
Anger/Upset,T H E most annoying part of the modern generation in one screen shot
Proud,I'm undefeated in splatfests now. I was on team ice cream and team mayo.
Happy,I had a wonderful time at The Caribana Parade Toronto love the men from Yard and their food…
Love,@stephpaquette hbd girly love/miss you so much &amp; our pacsun days  ☹️💟😛
None,I am currently watching this.
None,LIMITED AVAILABILITY CALL 770-813-7718 @ Sugar Salon LLC
Anger/Upset,I HATE how I get overly happy for things because I get so so so disappointed when they don't happen😒
Thankful,Thank u pai! 💕😊
Frustrated,I seriously hate not being able to quote RT with pics. I miss the old twitter.
Dissapointed,I seriously hate not being able to quote RT with pics. I miss the old twitter.
Sadness,@g_kayyyy no text back TWO days in a row. Breaking my heart bitch
Fear,3) I have arachnophobia. I can't even look at photos/video of spiders without feeling faint and anxious.
Happy,Happy Independence Day 🇯🇲💉
Sadness,This would have been a perfect night to have a movie night if I had a bae 🙃
None,#Nissan #SanMarcos is #nowplaying Should I Stay Or Should I Go? by #Clash #cubevenue
Frustrated,When you ready to leave the casino and go to the club but your mom don't wanna get up from the slot machine 🙄
Anger/Upset,you lied .
Confusion,How do you delete a tweet🙄😐
Sadness,Never thought I would cry so much in California.....while on holidays....because I missed my favourite tour with my two favourite bands 💔💔💔💔
Anger/Upset,35 years and I still can't watch this freaking earwig scene in Wrath of Khan. I hate it.
Frustrated,35 years and I still can't watch this freaking earwig scene in Wrath of Khan. I hate it.
Frustrated,I can't sleep and I have a flight to catch in a few 🤦🏽‍♀️
Frustrated,i hate feeling like this
Frustrated,I love this place but the wait is ridiculous!!! (@ OMNIA Nightclub - @omnialasvegas)
Love,I hate that I love you boooooy
Frustrated,I hate that I love you boooooy
Sadness,11:11 wish @JonahMarais would just talk to me 😢💔
Confusion,I just got hit on by a white woman 😳
Love,She Reflection of me 😍💕
Sadness,I just want everything to be ok again
Frustrated,I just want everything to be ok again
Love,happy birthday luke! love ya longtime💞 @LukeFranc5
Happy,happy birthday luke! love ya longtime💞 @LukeFranc5
Happy,My favorite meal is lashov 😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋
Excitement,My favorite meal is lashov 😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋
Sadness,I need to be left alone honestly
Frustrated,I need to be left alone honestly
Sadness,I'm praying for better days.
Frustrated,I'm praying for better days.
Sadness,It hurts so much right now. So tired of this. #ruiningmylife
Frustrated,It hurts so much right now. So tired of this. #ruiningmylife
None,"You can go online &amp; order backpacks for as little as $8 - 

Help a damn good Nole give back… "
Love,I ain’t gone lie this one for you baby 😌I fell in love with everything you do baby 😏💜
Happy,finally 🔞🙃
None,Open house 1-4 today in Naples &amp; Marco Island Florida including Fiddler's Creek Lely Resort Isles of Capri and 1…
None,South Gate CA Sun Aug 6th AM Forecast: TODAY Sunny Hi 90 TONIGHT Fog Lo 66
None,Want to work in #Wilmington DE? View our latest opening:  #Nursing #Job #Jobs #Hiring
None,"#NW encore presentation of @CaroleBSager""s #SuperSoulSunday on @OWNTV."
Anger/Upset,"@brhodes ""Honorable"" Ben? LMAO.From the guy who finds it OK to create false narratives to push an agenda or program… "
lol,"@brhodes ""Honorable"" Ben? LMAO.From the guy who finds it OK to create false narratives to push an agenda or program… "
Frustrated,@ladygaga omg pls dont shorten perfect illusion please please please 😫
Sadness,Getting 0 hours of sleep tonight 😩
Frustrated,Getting 0 hours of sleep tonight 😩
None,South San Francisco CA Sun Aug 6th AM Forecast: TODAY Partly Cloudy Hi 76 TONIGHT Partly Cloudy Lo 60
Anger/Upset,This is bullshit
None,Spanish Flat CA Sun Aug 6th AM Forecast: TODAY Chance Of T-Storm Hi 76 TONIGHT Partly Cloudy Lo 55
Anger/Upset,#Chris Wallace needs to move to MSNBC where he fits in with all his fake news. Totally disgusting
Thankful,@ahamberg_12 😂😂😂😂 thank you 😘
Anger/Upset,"@godismikey and you look like you didn't make the group ""the Internet"" and you wear strap ons and think you feel Pussy stfu bitch"
None,Spring Valley CA Sun Aug 6th AM Forecast: TODAY Mostly Sunny Hi 86 TONIGHT Fog Lo 64
Confusion,@MsMichaelaPaige You're not alone. I don't use Snapchat or Instagram stories because it confuses the heck out of me.
Anger/Upset,@RogerJStoneJr @realDonaldTrump STOP this crap maybe we can get you arrested for inciting violence.
Love,If Jim and Pam's love doesn't make you smile every time you see them together something's wrong with you 😭❤️
Happy,If Jim and Pam's love doesn't make you smile every time you see them together something's wrong with you 😭❤️
None,Know where he is? Toronto Police searching Downsview for boy 12 last seen Saturday.
Excitement,Doing a maternity shoot today and I am more than excited about it
None,See our latest #SanAntonio TX #job and click to apply: Prep Cook -  #PrepCook #Hiring
Love,happy birthday to the girl who is just as socially awkward as i am!! @hschal18 I MISS YOU!!! (&amp; the train🚂) 😉😚💕💖🎈
Happy,happy birthday to the girl who is just as socially awkward as i am!! @hschal18 I MISS YOU!!! (&amp; the train🚂) 😉😚💕💖🎈
Thankful,@harrisonia @ShannonRenee Thanks and thanks for sharing the prior tweet.
None,Stockton CA Sun Aug 6th AM Forecast: TODAY Partly Cloudy Hi 94 TONIGHT Mostly Clear Lo 65
None,Interested in a #job in #FortWorth TX? This could be a great fit:  #Banking #Hiring
None,Can you recommend anyone for this #job in #Bixby OK? #hiring #career
None,We're #hiring! Click to apply: LTL Stocker -  #CustomerService #NorthSmithfield RI #Job #Jobs #CareerArc
None,Sunnyvale CA Sun Aug 6th AM Forecast: TODAY Partly Cloudy Hi 86 TONIGHT Partly Cloudy Lo 59
None,Can you recommend anyone for this #job in #Boston MA?  #ProjectMgmt #Hiring #CareerArc
None,Just posted a photo @ Central High School (Fort Worth Texas)
None,"#Netflix recommendation
-The Devils Candy
Good horror. evil is inside us genre stuff.
@EmbryEthan is stunningly good.
 The kid was awesome"
None,Can you recommend anyone for this #job in #Medfield MA?  #CustomerService #Veterans #Hiring
None,Can you recommend anyone for this #job? Dishwasher -  #Dishwasher #Statesville NC #Hiring
None,See our latest #Thibodoux LA #job and click to apply: The Claiborne - PRN COTA - Thibodoux LA -  #Nursing #Hiring
None,This #job might be a great fit for you: RN - ICU - FT - Nights - ($5000 Sign on Bonus) -  #Healthcare #Hiring
Thoughtful,"""Life is fleeting like a passing mist.
        It is like trying to catch hold of a....  "
None,Can you recommend anyone for this #job? Caregiver -  #Nursing #SanDiego CA #Hiring
Love,I got the one person I want and no ones messing that up
None,Can you recommend anyone for this #job? shift supervisor - Store# 05791 RIO GRANDE BLVD &amp; I-40 -  #CustomerService
None,Join the Dollar General team! See our latest #job opening here:  #Retail #Pulaski TN #Hiring #CareerArc
None,Susanville CA Sun Aug 6th AM Forecast: TODAY Chance Of T-Storm Hi 86 TONIGHT Chance Of T-Storm Lo 53
None,If you're looking for work in #Simpsonville SC check out this #job:  #Hiring
None,We're #hiring! Click to apply: Dishwasher -  #Hospitality #Troy MI #Job #Jobs #CareerArc
Confusion,This ABBA thing is weird
Sadness,y'all how I pull a muscle in my neck that has affected my whole range of motion 😭😖
Frustrated,y'all how I pull a muscle in my neck that has affected my whole range of motion 😭😖
Anger/Upset,#AMJoy Eric Bolling's problems with accusations of dick pics. I wonder if sexual harassment is a job requirement of Fox male broadcasters.
Sarcastic,#AMJoy Eric Bolling's problems with accusations of dick pics. I wonder if sexual harassment is a job requirement of Fox male broadcasters.
None,Sutter CA Sun Aug 6th AM Forecast: TODAY Partly Cloudy Hi 94 TONIGHT Mostly Clear Lo 65
Happy,"Saturday with the boys 😎
#family #cousins #cookout #goodtimes @… "
Thankful,Thanks for everything coach!
Confusion,What kind of person doesn't like white gravy....?
Excitement,omgggg you're gonna love it!! Can't wait 💗
Anger/Upset,@IvankaTrump do you not realize what a liar you are? Where are all the GM jobs daddy promised &amp; we are still operat…
None,Sylmar CA Sun Aug 6th AM Forecast: TODAY Sunny Hi 90 TONIGHT Fog Lo 66
Happy,RJ &amp; his bandana are probably the cutest thing I've seen all week🤗 #dogsarethebest…
None,Tara Hills CA Sun Aug 6th AM Forecast: TODAY Partly Cloudy Hi 89 TONIGHT Partly Cloudy Lo 60
Happy,I am so blessed to have such an angel in my life💛🌻✨
Thankful,The next Sunday I'm off I'm going to church. Need to give credit to where it's due. I'm so grateful! I might b sleep but I soak in the word.
Happy,Fenway with a couple of my favorite people ⚾️ @ Fenway Park
Anger/Upset,chance broke up with me in my dream so now i'm mad at him
None,Tarzana CA Sun Aug 6th AM Forecast: TODAY Sunny Hi 90 TONIGHT Fog Lo 66
Excitement,Can't wait to get my copy.
Sadness,This cast got my foot hurtin 😒
None,Here I Am by Etta James is #nowplaying in Market Basket Omaha.
Sadness,yeah i cried and will never forget my king on stage
Anger/Upset,Today is the day for no tolerance for people that abuse there animals n can't care if them . Do not let me find you today cause I'm on 🔥
None,Terminal Island CA Sun Aug 6th AM Forecast: TODAY Sunny Hi 90 TONIGHT Fog Lo 66
Happy,After 3 and a half years I finally got to spend some time with my Bestfriend and I couldn't be happier❤️
Frustrated,Why can't every child fast forward from the age of 13 to 17? This #puberty stuff is awful! #Commonsense is required in life kids! #DadLife
None,Tracy CA Sun Aug 6th AM Forecast: TODAY Partly Cloudy Hi 94 TONIGHT Mostly Clear Lo 65
Confusion,The fact there is a Trump TV is like super weird.
Happy,"#SundayFunday 

Spread positivity and drop a selfie of you smiling in this thread 😃😃😃"
Happy,One of my favorite stories I've ever worked on. Grace Weigman you are the sweetest!
Thankful,One of my favorite stories I've ever worked on. Grace Weigman you are the sweetest!
Anger/Upset,Hating you is so exhausting
None,Tulare CA Sun Aug 6th AM Forecast: TODAY Sunny Hi 100 TONIGHT Clear Lo 71
None,We back @ Savannah Georgia
None,TODAY PULL UP!!!!! 🇨🇦If you're in Toronto Canada this weekend for Caribana Weekend!!! meet us…
Excitement,I want some more Wendy's  that shit was hitting on something yesterday
Excitement,Last week when I left NYC I felt so defeated and sad but after a different scenery and long thinking I'm ready to tear the city tf up!
Hopeful,Last week when I left NYC I felt so defeated and sad but after a different scenery and long thinking I'm ready to tear the city tf up!
Amazed,Omg!  Walking into Wilderness Lodge was such an amazing wow moment!   Holy cow!  Simply stunning!
Sadness,This life is a bitter sweet symphony
None,"Today's Records: Hi:81.9°F  Lo:66.7°F   Rain: Tdy:0""  Mo:0"" Yr:24.30""  Wind(S/G): 2.88Mph/8.4Mph #ClaytonNC"
None,I just entered the @GoOrganically On-the-Go Sweeps for a chance to #win the Ultimate Road Trip Prize Pack!
None,We're #hiring! Read about our latest #job opening here: ASSISTANT DIRECTOR OF DINING SERVICES -  #Hospitality
Anger/Upset,I hate when people start conversations over the phone and then don't respond back past two messages 👀
Frustrated,I hate when people start conversations over the phone and then don't respond back past two messages 👀
Happy,I got a smol af cosplay bikini but the seller said I can get a full refund! ♥ Time to figure out how to MAKE swimwear 😂
None,Join the OfficeTeam team! See our latest #job opening here:  #Clerical #Eagan MN #Hiring #CareerArc
Happy,Happy lazy Sunday from me and remmy.💕
Amusment/Interest?,@realfatapollo Twice. And watched the video as well. But mostly I'm obsessed with deep history and human nature.
Thoughtful,@realfatapollo Twice. And watched the video as well. But mostly I'm obsessed with deep history and human nature.
Love,Learn how to embrace love; by @rickpina  #teacher #preschool #Kindergarten #SundayMorning
Happy,Learn how to embrace love; by @rickpina  #teacher #preschool #Kindergarten #SundayMorning
Sadness,I'm ready to move 😭
Frustrated,I'm ready to move 😭
None,Want to work in #Denver CO? View our latest opening:  #CustomerService #Veterans #Job #Jobs #Hiring
None,If you're looking for work in #Trenton NJ check out this #job:  #NettempsJobs #Retail #Hiring
Happy,Train your mind to see the good in everything. The happiness of your life depends on the quality of your thoughts.
Thoughtful,Train your mind to see the good in everything. The happiness of your life depends on the quality of your thoughts.
Frustrated,"#IAmHappiestWhen I get taxpayers to pick up the tab

  #TrumpRussia
  #GrandJury
  #ImpeachTrump
  #Resist… "
Sarcastic,"#IAmHappiestWhen I get taxpayers to pick up the tab

  #TrumpRussia
  #GrandJury
  #ImpeachTrump
  #Resist… "
Happy,Drawing for the first time in over 30 years! Inspired by memories of when I first held a…
None,Stall on the right shoulder in #LeeSSummit on I 470 WB at 50 Hwy #KCtraffic
Confusion,That and there being more than two genders. Really liberals?
Frustrated,That and there being more than two genders. Really liberals?
Fear,im honestly so scared for my dad it's not even funny😩
Happy,@ellisonbarber Good morning! Nice seeing you on the #MediaBuzz panel. Great job on @FoxNews You &amp; your family have a great day...God bless!
Thankful,@ellisonbarber Good morning! Nice seeing you on the #MediaBuzz panel. Great job on @FoxNews You &amp; your family have a great day...God bless!
Excitement,"""Winter is coming."" @ Boothbay Maine "
Happy,Think We Cooking Live Crabs Today Ooouu Family Day🤗
None,We're #hiring! Read about our latest #job opening here: Nurse II -  #Nursing #Buffalo NY #CareerArc
None,Want to work in #Cleburne TX? View our latest opening:  #Retail #Job #Jobs #Hiring #CareerArc
None,Can you recommend anyone for this #job? Parts Delivery - #hiring #career
None,Join the Meijer team! See our latest #job opening here:  #CustomerService #Lowell MI #Hiring #CareerArc
None,See our latest #Dallas TX #job and click to apply: Anesthesiologist / Director Division of Obstetric... -
None,Interested in a #job in #Indianapolis IN? This could be a great fit: #hiring #career
None,Join our team! Innovate freely to create new solutions with support from your team &amp; leadership: SR...  #Clerical
None,We're #hiring! Click to apply: Retail Merchandiser Cashier - #job #career
None,If you're looking for work in #Yakima WA check out this #job:  #cintasjobs #Clerical #Hiring #CareerArc
None,Disabled vehicle left lane blocked in #Haverhill on Rt 495 SB at EX 48 - Ward Hl Connector #traffic
None,Vandenberg Village CA Sun Aug 6th AM Forecast: TODAY Sunny Hi 80 TONIGHT Partly Cloudy Lo 56
None,We're #hiring! Click to apply: CDL Furniture Delivery Driver -  #Transportation #Columbia MD #Job #Jobs
Love,Hardest goodbye of my life❤️ i love you so much Justin❤️❤️❤️❤️ you're gunna do great things in Iowa..I know it @1999Johnston
Sadness,Hardest goodbye of my life❤️ i love you so much Justin❤️❤️❤️❤️ you're gunna do great things in Iowa..I know it @1999Johnston
Thankful,Hardest goodbye of my life❤️ i love you so much Justin❤️❤️❤️❤️ you're gunna do great things in Iowa..I know it @1999Johnston
Frustrated,Hilarious to me that the UN is imposing sanctions on North Korea but Israel broke nearly 70 resolutions and never thoughts of sanctions
None,Love Shopping At #Marshalls? We are #NOWHIRING in #Framingham MA For Summer Positions! #Jobs Learn More:  #Hiring
None,Want to work in #Houston TX? View our latest opening:  #Cosmetology #Job #Jobs #Hiring #CareerArc
None,Interested in a #job in #Raymore MO? This could be a great fit:  #Transportation #Hiring #CareerArc
None,Want to work in #Omaha NE? View our latest opening:  #Nursing #Job #Jobs #Hiring
None,Can you recommend anyone for this #job in #Madison WI?  #Accounting #Hiring #CareerArc
None,Join the The MENTOR Network team! See our latest #job opening here:  #Healthcare #Boston MA #Hiring #CareerArc
Anger/Upset,I care too much. Until I don't. Then fuck you
Frustrated,I care too much. Until I don't. Then fuck you
None,Ventura CA Sun Aug 6th AM Forecast: TODAY Sunny Hi 80 TONIGHT Fog Lo 61
Thoughtful,Should I go to D.C. First or NY🤔
Sadness,Wow things really aren't going my way lately
Love,@ganazodo aw G u mean more to me that u know 💞💞 thanks so much for all the mems
Thankful,@ganazodo aw G u mean more to me that u know 💞💞 thanks so much for all the mems
Love,It's weird but so amazing when someone besides my dad genuinely loves me. I'm not used to it.
Suprise,It's weird but so amazing when someone besides my dad genuinely loves me. I'm not used to it.
Hopeful,"God I look to You
I won't be overwhelmed
God I look to You
You're where my help comes from"
Sadness,@K9Friend121151 Sad but true
Frustrated,@judywmiller @3lectric5heep No it's California liberal stupidity.
Excitement,Fog finally broke so we hit the range. #PointJoes #PebbleBeach #MPCC ⛳️ #SundayFunday
Hopeful,Powerful word today from Pastor Rick #marthaitis #crbc
Thankful,Thank you!!!
Happy,When they hand you the bag it's so warm and the pretzels are just bomb
None,We're #hiring! Read about our latest #job opening here: Delivery Driver Trade Show/Event ($60K Earning... -
None,I'm at Jersey Mike's Subs in Austin TX
Happy,Late post from our monthly #EDMNIGHT fremontstreet we had a blast #spentertainmentlv #lasvegas…
Sadness,Just want to call her mine but it's so hard to get to that pinnacle......help me God
Frustrated,Just want to call her mine but it's so hard to get to that pinnacle......help me God
None,Want to work at CVS Health? We're #hiring in #KansasCity KS! Click for details:  #Job #Jobs
Love,@MaddieHeim Luv u💓
Happy,Perfect day for a picnic in the park. #latergram @ Saint Louis Art Museum
Excitement,@StLukesOrlando BRILLIANT SERMON TODAY!  Acts 10. Yes I heard what I really NEEDED to hear. Now I will live into those words.
Hopeful,@StLukesOrlando BRILLIANT SERMON TODAY!  Acts 10. Yes I heard what I really NEEDED to hear. Now I will live into those words.
Confusion,"I never understood strict public school restroom policies?

 ""You can't go bc Brendan just came back.""

  ""You should have went earlier"""
None,This #job might be a great fit for you: Sr. Accountant -  #Chicago IL #Hiring #CareerArc
None,Can you recommend anyone for this #job? Hair Stylist - 02913 - HC NORTH BRUNSWICK SHOPPING CENTE -  #joinhaircuttery
None,We're #hiring! Read about our latest #job opening here: Database Developer -  #IT #OklahomaCity OK #CareerArc
Confusion,who lies about their ethnicity? 🤔
Happy,Its goin off in Cali today!! Hard Summer Music Festival settings 😎🌴 @ Hollywood
Excitement,Its goin off in Cali today!! Hard Summer Music Festival settings 😎🌴 @ Hollywood
Hopeful,Hope work is chill today
Confusion,@MMFlint Got anybody  in mind?  I don't  know who to look at for election. No one  really stands out yet.
Thoughtful,@MMFlint Got anybody  in mind?  I don't  know who to look at for election. No one  really stands out yet.
Love,Yesterday hurt so bad but I have to remember that when someone ACTUALLY loved you you'd know 💯 &amp; I don't deserve to feel unloved 😃
Sadness,Yesterday hurt so bad but I have to remember that when someone ACTUALLY loved you you'd know 💯 &amp; I don't deserve to feel unloved 😃
Sadness,I dnt feel good 😩
Frustrated,I dnt feel good 😩
Thankful,Just hit 4.6k followers I appreciate everyone playing my music
None,Interested in a #job in #Gower MO? This could be a great fit:  #Healthcare #Hiring
Excitement,Making brunch a weekly thing!!!
Anger/Upset,BULLSHIT !!!
None,Want to work at Ulta Beauty? We're #hiring in #Irving TX! Click for details:  #Cosmetology #Job #Jobs #CareerArc
Thoughtful,we cannot control the wind but we can adjust the sails
Happy,This was the best one minute and ten seconds of my life
Happy,I've been 6 months heat free and I absolutely love my curls. Such an investment tho.
None,Join the Eurest team! See our latest #job opening here:  #Hospitality #CherryHill NJ #Hiring
None,Join the RWJBH team! See our latest #job opening here:  #Nursing #Livingston NJ #Hiring #CareerArc
None,See our latest #Austin TX #job and click to apply: barista - Store# 06380 WILLIAM CANNON &amp; MOPAC -  #Veterans
Excitement,Leo's first time at the pool!
None,Want to work at Ag Unlimited? We're #hiring in #Ukiah CA! Click for details:  #Job #Jobs #CareerArc
Thoughtful,"“Blessed are the meek for they will inherit the earth."" In Greek the ""meek"" isn't weak. It's gentle humble... "
None,If you're looking for work in #VernonHills IL check out this #job:  #Legal #Hiring #CareerArc
Love,@KikiSukezane Sweet dreams!
None,Join the Lowe's Stores team! See our latest #job opening here:  #CustomerService #Ames IA #Hiring #CareerArc
None,We're #hiring! Click to apply: Shift Supervisor Management Trainee -  #Burien WA #Job #Jobs
None,Can you recommend anyone for this #job? Poultry Production Supervisor 2nd Shift Processing Nacogdoches Texas -
None,Want to work in #Houston TX? View our latest opening:  #Library #Job #Jobs #Hiring #CareerArc
Hopeful,God will take you through the level where He gives you Handfuls on Purpose!! #UndertheInfluence @myredemptioncc @roncarpenter
None,We're #hiring! Click to apply: barista - Store# 08123 131ST &amp; HAZEL DELL PKWY -  #CustomerService #Carmel IN #Job
None,Can you recommend anyone for this #job? CDL Truck Driver Commercial - $1000 Sign On Bonus - No... -  #driverjobs
None,Interested in a #job in #NewYork NY? This could be a great fit:  #Sales #Hiring #CareerArc
None,We're #hiring! Click to apply: Recess Aide at Great Oaks Academy -  #Education #Teacher #Warren MI #Job #Jobs
Happy,@pearljam7279 I'm a fan of cloudy days
lol,Take me on a date to a restaurant that serves only gmo preservative filled pesticide sprayed food
Sarcastic,Take me on a date to a restaurant that serves only gmo preservative filled pesticide sprayed food
Love,@bencrane_ happy birthday benny love you brother. Stay ignorant baby ❤️#StayIgnorantSanDiego #NewSchemes #RIPBeach…
Happy,@bencrane_ happy birthday benny love you brother. Stay ignorant baby ❤️#StayIgnorantSanDiego #NewSchemes #RIPBeach…
lol,@bencrane_ happy birthday benny love you brother. Stay ignorant baby ❤️#StayIgnorantSanDiego #NewSchemes #RIPBeach…
Love,Happy Birthday @jon_thoughts! Many blessings to you my brother. I pray this year be fulfilling and prosperous!
Happy,Happy Birthday @jon_thoughts! Many blessings to you my brother. I pray this year be fulfilling and prosperous!
Hopeful,Happy Birthday @jon_thoughts! Many blessings to you my brother. I pray this year be fulfilling and prosperous!
Love,@intjRj He'll introduce me and he always wants me to be head over heels about them. The few times I am he's got a problem with it.
Frustrated,@intjRj He'll introduce me and he always wants me to be head over heels about them. The few times I am he's got a problem with it.
Frustrated,@JeffFlake Keep going. The Republican Party needs to be better. You need to be better.
Love,Been so happy ever since I found youuu
Happy,Been so happy ever since I found youuu
Love,@double_cupp_me facts. i think he married tasha bc she had been down for so long but i don't think he was in love with her.
Sadness,@double_cupp_me facts. i think he married tasha bc she had been down for so long but i don't think he was in love with her.
lol,LMAO DOES ANYONE REMEMBER MY PREPPY @$$ IN HIGH SCHOOL LOL WHAT WAS I THINKING
Excitement,LMAO DOES ANYONE REMEMBER MY PREPPY @$$ IN HIGH SCHOOL LOL WHAT WAS I THINKING
Excitement,"Pads were given out today..who's ready for FOOTBALL SEASON!!🏈
#ProudToBeATar "
Love,Love my girl @gonibblergo! She's been helping me since the beginning- we shot @CALLGiRLfilm at her house! ❤️…
None,If you're looking for work in #Angleton TX check out this #job:  #Cosmetology #Hiring #CareerArc
Love,My first love story
Happy,- Prom picture 💙#CmonDenimDressssss #DU21PHOTOCHALLENGE #Du21
Anger/Upset,@POTUS @realDonaldTrump - where's the outrage at this hate crime. Oh wait there won't be any. Explain why we are…
Frustrated,@POTUS @realDonaldTrump - where's the outrage at this hate crime. Oh wait there won't be any. Explain why we are…
Love,Amsterdam's pride celebration looks like THE biggest party ever 🎉🌈💞
Happy,Amsterdam's pride celebration looks like THE biggest party ever 🎉🌈💞
Excitement,Amsterdam's pride celebration looks like THE biggest party ever 🎉🌈💞
Happy,Washing college bedding is work given by the devil - but I love clean sheets so
Frustrated,Washing college bedding is work given by the devil - but I love clean sheets so
Happy,Happy birthday #AndyWarhol! Check out our ten Campbell's Soup screenprints (1969) on rare view…
Happy,Just a few of the amazing volunteers that I have the honor of serving with each week on Fridays…
